"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-05","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","97.0","","","","1"
"2019-06","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","96.6","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","96.3","","","","1"
"2019-08","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","96.0","","","","1"
"2019-09","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","95.8","","","","1"
"2019-10","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","95.6","","","","1"
"2019-11","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","95.4","","","","1"
"2019-12","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","95.3","","","","1"
"2020-01","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","95.1","","","","1"
"2020-02","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","95.0","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","86.1","","","","1"
